ProjectId,ComplexityScore,TotalBlocks,UniqueTargets,ControlBlocks,CustomBlocks
96487269,196.0,332,15,0,0
98639600,196.0,340,13,0,0
99460446,196.0,324,17,0,0
99962984,195.5,287,26,0,0
99173184,195.5,303,22,0,0
97916892,195.5,287,26,0,0
99386913,195.5,335,14,0,0
98023583,195.5,315,19,0,0
98244750,195.5,271,30,0,0
99523006,195.5,287,26,0,0
98650619,195.5,323,17,0,0
99933825,195.5,239,38,0,0
98650589,195.5,299,23,0,0
96322193,195.5,307,21,0,0
99564157,195.5,331,15,0,0
98818532,195.5,295,24,0,0
99150994,195.5,363,7,0,0
98359215,195.5,319,18,0,0
99220007,195.5,359,8,0,0
97515558,195.5,331,15,0,0
98653434,195.5,279,28,0,0
99680207,195.5,283,27,0,0
99631811,195.5,363,7,0,0
98213070,195.5,363,7,0,0
96702286,195.5,351,10,0,0
99812112,195.5,287,26,0,0
78249574,195.5,331,15,0,0
95604510,195.5,339,13,0,0
98576301,195.5,319,18,0,0
99483386,195.5,363,7,0,0
98553960,195.5,331,15,0,0
98394053,195.5,331,15,0,0
98623560,195.5,367,6,0,0
98625290,195.5,331,15,0,0
98327791,195.5,319,18,0,0
99784443,195.5,303,22,0,0
97435047,195.5,299,23,0,0
98619371,195.5,347,11,0,0
98846141,195.5,331,15,0,0
98679777,195.5,351,10,0,0
99371705,195.5,243,37,0,0
99692765,195.0,330,15,0,0
98630714,195.0,314,19,0,0
98640636,195.0,362,7,0,0
98633548,195.0,358,8,0,0
98266932,195.0,338,13,0,0
98886026,195.0,386,1,0,0
98698272,195.0,358,8,0,0
98407995,195.0,318,18,0,0
98678765,195.0,362,7,0,0
99803453,195.0,334,14,0,0
99404452,195.0,382,2,0,0
92980433,195.0,330,15,0,0
99559866,195.0,322,17,0,0
97308705,195.0,338,13,0,0
92825310,195.0,354,9,0,0
98395198,195.0,286,26,0,0
98672850,195.0,318,18,0,0
98980490,195.0,346,11,0,0
99625790,195.0,326,16,0,0
66213566,195.0,338,13,0,0
99362114,195.0,338,13,0,0
99562048,195.0,346,11,0,0
99142843,195.0,298,23,0,0
98690062,195.0,346,11,0,0
98106504,195.0,354,9,0,0
98608099,195.0,310,20,0,0
99086434,195.0,318,18,0,0
98548351,195.0,230,40,0,0
98703559,195.0,310,20,0,0
99455844,195.0,250,35,0,0
97773956,195.0,318,18,0,0
99614338,195.0,318,18,0,0
99191856,195.0,362,7,0,0
99656528,195.0,354,9,0,0
99791451,195.0,346,11,0,0
98611556,194.5,297,23,0,0
99238019,194.5,329,15,0,0
97288168,194.5,341,12,0,0
98226875,194.5,365,6,0,0
95981946,194.5,325,16,0,0
97426664,194.5,365,6,0,0
99602617,194.5,321,17,0,0
99261326,194.5,349,10,0,0
86058530,194.5,353,9,0,0
98826471,194.5,353,9,0,0
98617679,194.5,353,9,0,0
99490646,194.5,329,15,0,0
99065701,194.5,353,9,0,0
98564560,194.5,229,40,0,0
